"Date d'entrée"	"Date de sortie"	"Type"	"Nb barres"	"Perf abs"	"Perf relat(%)"	"MFE"	"MAE"	"Gain unitaire"
"3 mai 2012, 01:00:00"	"18 mai 2012, 13:00:00"	"Court"	"71"	"883,40€"	"+3,82%"	"1704,92€"	"0,00€"	"+63,1"
"16 avr. 2012, 13:00:00"	"26 avr. 2012, 09:00:00"	"Court"	"48"	"-16,00€"	"-0,10%"	"168,78€"	"-67,52€"	"-1,6"
"10 avr. 2012, 05:00:00"	"16 avr. 2012, 13:00:00"	"Long"	"27"	"-70,80€"	"-0,36%"	"292,08€"	"-244,32€"	"-5,9"
"3 avr. 2012, 21:00:00"	"10 avr. 2012, 05:00:00"	"Court"	"27"	"-126,90€"	"-0,86%"	"226,57€"	"-193,40€"	"-14,1"
"2 avr. 2012, 17:00:00"	"3 avr. 2012, 21:00:00"	"Long"	"7"	"-467,50€"	"-2,53%"	"0,00€"	"-538,78€"	"-42,5"
"29 mars 2012, 13:00:00"	"2 avr. 2012, 09:00:00"	"Court"	"12"	"-144,10€"	"-0,79%"	"39,82€"	"-193,93€"	"-13,1"
"9 mars 2012, 21:00:00"	"13 mars 2012, 13:00:00"	"Long"	"11"	"-131,20€"	"-0,96%"	"15,04€"	"-131,76€"	"-16,4"
"29 févr. 2012, 21:00:00"	"9 mars 2012, 21:00:00"	"Court"	"42"	"0,00€"	"+0,00%"	"299,67€"	"-60,27€"	"+0,0"
"10 févr. 2012, 01:00:00"	"17 févr. 2012, 09:00:00"	"Court"	"33"	"-36,80€"	"-0,27%"	"112,88€"	"-41,12€"	"-4,6"
"8 févr. 2012, 05:00:00"	"10 févr. 2012, 01:00:00"	"Long"	"11"	"-150,30€"	"-0,96%"	"7,54€"	"-167,24€"	"-16,7"
"6 févr. 2012, 09:00:00"	"8 févr. 2012, 05:00:00"	"Court"	"11"	"-145,00€"	"-0,84%"	"165,29€"	"-156,31€"	"-14,5"
"3 janv. 2012, 17:00:00"	"6 févr. 2012, 09:00:00"	"Long"	"151"	"901,60€"	"+8,03%"	"1086,82€"	"-33,95€"	"+128,8"
"8 déc. 2011, 01:00:00"	"22 déc. 2011, 21:00:00"	"Long"	"67"	"-1088,00€"	"-7,81%"	"0,00€"	"-1387,04€"	"-136,0"
"6 déc. 2011, 09:00:00"	"8 déc. 2011, 01:00:00"	"Court"	"10"	"-196,00€"	"-1,43%"	"78,08€"	"-201,12€"	"-24,5"
"16 nov. 2011, 17:00:00"	"28 nov. 2011, 21:00:00"	"Court"	"51"	"409,50€"	"+3,31%"	"630,17€"	"-43,23€"	"+58,5"
"11 nov. 2011, 21:00:00"	"16 nov. 2011, 17:00:00"	"Long"	"18"	"-126,60€"	"-1,18%"	"44,28€"	"-170,07€"	"-21,1"
"10 nov. 2011, 21:00:00"	"11 nov. 2011, 21:00:00"	"Court"	"6"	"-175,80€"	"-1,67%"	"34,30€"	"-175,94€"	"-29,3"
"24 oct. 2011, 21:00:00"	"10 nov. 2011, 21:00:00"	"Long"	"80"	"729,40€"	"+6,30%"	"979,16€"	"-23,24€"	"+104,2"
"9 sept. 2011, 09:00:00"	"4 oct. 2011, 21:00:00"	"Long"	"109"	"-1016,80€"	"-13,56%"	"0,00€"	"-1286,80€"	"-254,2"
"7 sept. 2011, 17:00:00"	"9 sept. 2011, 09:00:00"	"Court"	"10"	"-258,80€"	"-3,58%"	"0,00€"	"-429,76€"	"-64,7"
"29 août 2011, 13:00:00"	"7 sept. 2011, 17:00:00"	"Long"	"39"	"-52,80€"	"-0,72%"	"356,49€"	"-144,67€"	"-13,2"
"24 août 2011, 21:00:00"	"29 août 2011, 13:00:00"	"Court"	"17"	"-178,20€"	"-3,37%"	"107,70€"	"-308,04€"	"-59,4"
"23 juin 2011, 21:00:00"	"5 juil. 2011, 21:00:00"	"Court"	"50"	"78,00€"	"+0,43%"	"430,42€"	"-20,78€"	"+6,5"
"10 juin 2011, 01:00:00"	"23 juin 2011, 21:00:00"	"Long"	"61"	"-322,00€"	"-1,49%"	"178,21€"	"-395,51€"	"-23,0"
"8 juin 2011, 21:00:00"	"10 juin 2011, 01:00:00"	"Court"	"7"	"-122,20€"	"-0,61%"	"0,00€"	"-132,98€"	"-9,4"
"10 mai 2011, 21:00:00"	"12 mai 2011, 05:00:00"	"Long"	"8"	"-105,60€"	"-0,87%"	"47,95€"	"-135,25€"	"-13,2"
"4 mai 2011, 21:00:00"	"10 mai 2011, 21:00:00"	"Court"	"25"	"-2,10€"	"-0,02%"	"333,09€"	"-18,66€"	"-0,3"
"14 avr. 2011, 17:00:00"	"4 mai 2011, 21:00:00"	"Long"	"82"	"592,80€"	"+3,36%"	"1192,80€"	"0,00€"	"+49,4"
"13 avr. 2011, 01:00:00"	"14 avr. 2011, 17:00:00"	"Court"	"10"	"-193,20€"	"-1,11%"	"0,00€"	"-194,12€"	"-16,1"
"31 mars 2011, 13:00:00"	"13 avr. 2011, 01:00:00"	"Long"	"53"	"267,40€"	"+1,33%"	"583,10€"	"-138,18€"	"+19,1"
"15 mars 2011, 01:00:00"	"28 mars 2011, 13:00:00"	"Long"	"51"	"-118,80€"	"-0,76%"	"214,39€"	"-431,75€"	"-10,8"
"3 févr. 2011, 09:00:00"	"15 mars 2011, 01:00:00"	"Court"	"168"	"-1067,00€"	"-7,30%"	"0,00€"	"-1232,97€"	"-97,0"
"1 févr. 2011, 21:00:00"	"3 févr. 2011, 09:00:00"	"Long"	"9"	"-90,00€"	"-0,67%"	"38,63€"	"-126,52€"	"-9,0"
"14 janv. 2011, 05:00:00"	"1 févr. 2011, 21:00:00"	"Court"	"79"	"423,50€"	"+2,80%"	"711,48€"	"0,00€"	"+38,5"
"12 janv. 2011, 05:00:00"	"14 janv. 2011, 05:00:00"	"Long"	"12"	"-97,90€"	"-0,64%"	"27,92€"	"-110,46€"	"-8,9"
"4 janv. 2011, 21:00:00"	"12 janv. 2011, 05:00:00"	"Court"	"33"	"-72,80€"	"-0,41%"	"277,81€"	"-73,35€"	"-5,6"
"15 déc. 2010, 21:00:00"	"21 déc. 2010, 09:00:00"	"Court"	"22"	"-80,30€"	"-0,53%"	"171,82€"	"-81,95€"	"-7,3"
"14 déc. 2010, 05:00:00"	"15 déc. 2010, 21:00:00"	"Long"	"10"	"-244,20€"	"-1,58%"	"34,67€"	"-243,63€"	"-22,2"
"8 déc. 2010, 17:00:00"	"14 déc. 2010, 05:00:00"	"Court"	"22"	"-252,90€"	"-2,04%"	"0,00€"	"-251,82€"	"-28,1"
"12 nov. 2010, 17:00:00"	"23 nov. 2010, 01:00:00"	"Court"	"40"	"76,30€"	"+0,79%"	"292,67€"	"0,00€"	"+10,9"
"19 oct. 2010, 17:00:00"	"29 oct. 2010, 09:00:00"	"Court"	"47"	"-14,40€"	"-0,12%"	"185,20€"	"-67,07€"	"-1,6"
"14 sept. 2010, 17:00:00"	"19 oct. 2010, 17:00:00"	"Long"	"155"	"1161,60€"	"+5,72%"	"1861,87€"	"-30,93€"	"+72,6"
"10 sept. 2010, 05:00:00"	"14 sept. 2010, 17:00:00"	"Court"	"16"	"-440,80€"	"-1,86%"	"9,04€"	"-444,11€"	"-23,2"
"24 août 2010, 21:00:00"	"10 sept. 2010, 05:00:00"	"Long"	"76"	"228,80€"	"+1,16%"	"468,00€"	"-5,92€"	"+14,3"

