"Date d'entrée"	"Date de sortie"	"Type"	"Nb barres"	"Perf abs"	"Perf relat(%)"	"MFE"	"MAE"	"Gain unitaire"
"10 nov. 2020, 01:00:00"	"17 nov. 2020, 05:00:00"	"Court"	"32"	"-99,00€"	"-1,06%"	"38,30€"	"-126,70€"	"-19,8"
"3 nov. 2020, 05:00:00"	"10 nov. 2020, 01:00:00"	"Long"	"30"	"-246,40€"	"-1,18%"	"741,60€"	"-358,40€"	"-22,4"
"23 oct. 2020, 09:00:00"	"3 nov. 2020, 05:00:00"	"Court"	"43"	"131,00€"	"+0,69%"	"382,00€"	"-44,00€"	"+13,1"
"20 oct. 2020, 17:00:00"	"23 oct. 2020, 09:00:00"	"Long"	"16"	"-28,00€"	"-0,15%"	"184,00€"	"-100,00€"	"-2,8"
"14 oct. 2020, 01:00:00"	"19 oct. 2020, 13:00:00"	"Court"	"22"	"-176,00€"	"-1,16%"	"0,00€"	"-177,80€"	"-22,0"
"9 oct. 2020, 09:00:00"	"14 oct. 2020, 01:00:00"	"Long"	"17"	"-143,10€"	"-0,83%"	"202,70€"	"-174,30€"	"-15,9"
"7 oct. 2020, 05:00:00"	"9 oct. 2020, 09:00:00"	"Court"	"13"	"-214,40€"	"-1,42%"	"0,00€"	"-232,80€"	"-26,8"
"29 sept. 2020, 21:00:00"	"7 oct. 2020, 05:00:00"	"Long"	"33"	"-125,60€"	"-0,83%"	"161,60€"	"-232,00€"	"-15,7"
"17 sept. 2020, 17:00:00"	"18 sept. 2020, 17:00:00"	"Court"	"6"	"-84,00€"	"-0,54%"	"0,00€"	"-84,70€"	"-10,5"
"10 sept. 2020, 05:00:00"	"17 sept. 2020, 17:00:00"	"Long"	"34"	"-20,30€"	"-0,15%"	"165,40€"	"-48,10€"	"-2,9"
"3 sept. 2020, 01:00:00"	"10 sept. 2020, 05:00:00"	"Court"	"32"	"-31,80€"	"-0,27%"	"153,10€"	"-53,30€"	"-5,3"
"28 août 2020, 13:00:00"	"3 sept. 2020, 01:00:00"	"Long"	"22"	"-82,00€"	"-0,84%"	"158,20€"	"-112,80€"	"-16,4"
"20 août 2020, 01:00:00"	"28 août 2020, 13:00:00"	"Court"	"40"	"-75,20€"	"-0,97%"	"140,10€"	"-21,90€"	"-18,8"
"18 août 2020, 01:00:00"	"20 août 2020, 01:00:00"	"Long"	"12"	"-214,00€"	"-2,16%"	"119,40€"	"-275,60€"	"-42,8"
"17 juil. 2020, 05:00:00"	"18 août 2020, 01:00:00"	"Court"	"136"	"-2397,20€"	"-10,26%"	"0,00€"	"-3549,50€"	"-184,4"
"10 juin 2020, 05:00:00"	"17 juil. 2020, 05:00:00"	"Long"	"166"	"730,80€"	"+4,73%"	"875,00€"	"-61,00€"	"+81,2"
"3 juin 2020, 17:00:00"	"10 juin 2020, 05:00:00"	"Court"	"28"	"-182,40€"	"-1,35%"	"148,60€"	"-199,40€"	"-22,8"
"29 mai 2020, 17:00:00"	"3 juin 2020, 17:00:00"	"Long"	"19"	"-414,00€"	"-2,39%"	"65,30€"	"-444,70€"	"-41,4"
"21 mai 2020, 21:00:00"	"29 mai 2020, 17:00:00"	"Court"	"36"	"-96,30€"	"-0,62%"	"231,30€"	"-134,30€"	"-10,7"
"6 mai 2020, 01:00:00"	"12 mai 2020, 01:00:00"	"Long"	"25"	"-67,20€"	"-0,49%"	"108,80€"	"-156,00€"	"-8,4"
